,0
121170,p1207,perichyte,n,n-s---fn1g,perichyt,[pɛ.'rɪ.kʰy.t̪ɛ],perichyte,0
121173,121173,periclymenus,n,n-s---fn2-,periclymen,[pɛ.rɪ.'kly.mɛ.n̪ʊs],periclymenus,0
121175,121175,periculo,n,n-s---mn3-,periculon,[pɛ.'riː.kʊ.loː],periculo,0
121177,121177,periegeticus,n,n-s---mn2-,periegetic,[pɛ.rɪ̣.jɛ.'gɛ.t̪ɪ.kʊs],periegeticus,0
121178,121178,perieratiuncula,n,n-s---fn1-,perieratiuncul,[pɛ.rɪ̣.jɛ.ra.t̪ɪ̣.'jʊŋ.kʊ.la],perieratiuncula,0
121179,121179,periero,v,v1spia--1-,perier perierau perierat,[pɛ.'rɪ̣.jɛ.rɔ],periero,0
121180,121180,perihodus,n,n-s---fn2-,perihod,[pɛ.'rɪ.hɔ.d̪ʊs],perihodus,0
121174,p1212,pericope,n,n-s---fn1g,pericop,[pɛ.'rɪ.kɔ.pɛ],pericope,0
121184,121184,perimmensus,a,aps---mn1-,perimmens perimmens perimmens,[pɛ.rɪ.'mmeː.n̪sʊs],perimmensus,0
121187,121187,perinaeon,n,n-s---nn2-,perinae,[pɛ.rɪ.'n̪aj.jɔn̪],perinaeon,0
121181,p1222,perileucos,n,n-s---fn2g,perileuc,[pɛ.'rɪɫew.kɔs],perileucos,0
121192,121192,perindigne,r,rp--------,,[pɛ.rɪn̪.'d̪ɪŋ.n̪ɛ],perindigne,0
121183,p1224,perimachia,n,n-s---fn1-,perimachi,[pɛ.rɪ.'ma.kʰɪ̣.ja],perimachia,0
121194,121194,perineon,n,n-s---nn2g,perine,[pɛ.'rɪ.n̪ɛ̣.jɔn̪],perineon,0
121185,p1230,perimpleo,v,v1spia--2-,perimpl perimpleu -,[pɛ.'rɪm.plɛ̣.jɔ],perimpleo,0
121186,p1231,perimproprius,a,aps---mn1-,perimpropri perimpropri perimpropri,[pɛ.rɪm.'prɔ.prɪ̣.jʊs],perimproprius,0
121198,121198,perinlustris,a,aps---cn3i,perinlustr perinlustr perinlustr,[pɛ.'rɪ.n̪lʊ.st̪rɪs],perinlustris,0
121199,121199,perinsolens,a,aps---an3i,perinsolent perinsolent perinsolent,[pɛ.'riːn̪.sɔ.ɫeːn̪s],perinsolens,0
121200,121200,perinteger,a,aps---mn1r,perintegr perintegr perintegr,[pɛ.'rɪn̪.t̪ɛ.gɛr],perinteger,0
121201,121201,perinundo,v,v1spia--1-,perinund perinundau perinunda,[pɛ.rɪ.'n̪ʊn̪.d̪ɔ],perinundo,0
121188,p1232,perinanis,a,aps---cn3i,perinan perinan perinan,[pɛ.'rɪ.n̪a.n̪ɪs],perinanis,0
121189,p1233,perincertus,a,aps---mn1-,perincert perincert perincert,[pɛ.rɪŋ.'kɛr.t̪ʊs],perincertus,0
