,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
182866,00237009,a,10,"relating to or having or hearing with only one ear: ""monaural deafness""",
182874,00238203,a,10,"pertaining to or characteristic of Americans of African ancestry: ""Afro-American culture""; ""many black people preferred to be called African-American or Afro-American""",
182869,00237422,a,10,biology; having two nuclei,
182870,00237531,a,10,biology; having only one nucleus,
182877,00238883,a,10,"characteristic of people traditionally classified as the Negro race: ""negroid features""",
182878,00239024,a,10,"of or belonging to a racial group having light skin coloration: ""voting patterns within the white population""",
182881,00239414,a,10,"being or having light colored skin and hair and usually blue or gray eyes: ""blond Scandinavians""; ""a house full of light-haired children""",2104
182836,00232911,a,10,"having a face or facing especially of a specified kind or number; often used in combination: ""a neatly faced terrace""",
182855,00235547,a,10,having four sides,
182856,00235637,a,10,involving four parties,
182862,00236519,a,10,(statistics) having a single mode,2075
182864,00236774,a,10,having two ears,
182865,00236845,a,10,(electronics) designating sound transmission from two sources through two channels,2284
182867,00237171,a,10,having a single ear,
182868,00237246,a,10,(electronics) designating sound transmission or recording or reproduction over a single channel,2284
182871,00237636,a,10,having two feet,2188
182872,00237744,a,10,having four feet,2188
182876,00238676,a,10,relating to or characteristic of or being a member of the traditional racial division of mankind having brown to black pigmentation and tightly curled hair,
182879,00239221,a,10,of or relating to Caucasian people,
182880,00239323,a,10,having little skin pigmentation,
182823,00230845,a,10,"changing for the worse: ""worried by the worsening storm""",
182885,00240097,a,10,resembling peoples of Scandinavia,
182886,00240183,a,10,having red hair and usually fair skin,
206959,L2420600,n,9,"a mountain of Galatia, in the neighborhood of Pessinus, with the source of the river Sangarius, now Elmah Dagh",2775
207767,L1559800,n,9,"a daughter of Priam and Hecuba, who continually proclaimed the approaching evil, but was believed by no one",
182893,00241349,a,10,having dark hairs mixed with gray or white,
182895,00241538,a,10,marred by imperfections,
182896,00241761,a,10,(of complexion) blemished by imperfections of the skin,
182897,00241898,a,10,(of glass or quartzite) marred by small bubbles or small particles of foreign material,
182901,00242585,a,10,marked by or as if by smallpox or acne or other eruptive skin disease,
182925,00247090,a,10,made bold or courageous,1502
182931,00248123,a,10,showing fear and lack of confidence,1502
182935,00248975,a,10,made timid or fearful as by threats,1502
182936,00249068,a,10,timid and ineffectual,1502
182937,00249150,a,10,easily startled or frightened,1502
182940,00249651,a,10,bound by chains fastened around the ankles,
182942,00249974,a,10,bound fast especially having the arms restrained,
182943,00250077,a,10,confined or restricted with or as if with a rope or chain,
182946,00250472,a,10,not restrained or tied down by bonds,
182947,00250616,a,10,not bound by shackles and chains,
182948,00250746,a,10,not confined or restricted with a tether,
182891,00240961,a,10,"having hair of a dark color: ""a dark-haired beauty""",
182932,00248426,a,10,"self-consciously timid; ""I never laughed, being bashful; lowering my head, I looked at the wall""-Ezra Pound",1502
182890,00240868,a,10,"(used of hair or skin or eyes) ""dark eyes""",2104
182892,00241100,a,10,"naturally having skin of a dark color: ""a dark-skinned beauty""; ""gold earrings gleamed against her dusky cheeks""; ""a smile on his swarthy face"" (""swart"" is archaic)",
182898,00242047,a,10,"marred by discolored spots or blotches: ""blotchy skin""",
182900,00242434,a,10,"blemished by injury or rough wear: ""the scarred piano bench""; ""walls marred by graffiti""",
182902,00242720,a,10,"free from physical or moral spots or stains: ""an unblemished record""; ""an unblemished complexion""",
182905,00243273,a,10,"of reputation: ""his unsullied name""; ""an untarnished reputation""",
182904,00243122,a,10,"of complexion; without such blemishes as e.g. acne; ""the clear complexion of a healthy young woman""",
182907,00243891,a,10,"emitting or as if emitting blood: ""his bleeding wounds""; ""bleeding heart""",
182909,00244184,a,10,"containing blood: ""the blood-filled centers of arteries and veins""",
182911,00244410,a,10,"covered with blood: ""a bloodstained shirt""; ""a gory dagger""",
182912,00244535,a,10,"drawing blood from the body of another: ""a plague of bloodsucking insects""",
182915,00245218,a,10,"capable of or conducive to bloodshed: ""a cutthroat rogue""; ""a homicidal rage""; ""murderous thugs""",
182916,00245394,a,10,"accompanied by bloodshed: ""this bitter and sanguinary war""",
182917,00245557,a,10,"characterized by bloodshed and carnage for both sides: ""internecine war""",
182920,00246079,a,10,"achieved without bloodshed: ""an unbloody transfer of power""",
182888,00240575,a,10,"(archaic) burned brown by the sun; ""of an adust complexion""-Sir Walter Scott",
182921,00246206,a,10,"not caused to bleed: ""got out of the fracas with his nose unbloodied""",
182923,00246712,a,10,"invulnerable to fear or intimidation: ""audacious explorers""; ""fearless reporters and photographers""; ""intrepid pioneers""",1502
182924,00246942,a,10,"presumptuously daring: ""a daredevil test pilot having the right stuff""",1502
182927,00247520,a,10,"having or displaying qualities appropriate for heroes: ""the heroic attack on the beaches of Normandy""; ""heroic explorers""",1502
182928,00247705,a,10,"showing or requiring courage and contempt of danger: ""the nervy feats of mountaineers""",1502
182930,00247995,a,10,"having or showing undue valor or boldness: ""a foolish overvaliant act""",1502
182934,00248776,a,10,"timid by nature or revealing timidity: ""timorous little mouse""; ""in a timorous tone""; ""cast fearful glances at the large dog""",1502
182887,00240276,a,10,"marked by dark or relatively dark pigmentation of hair or skin or eyes: ""a brunette beauty""",2104
182938,00249229,a,10,"confined by bonds: ""bound and gagged hostages""",
182941,00249789,a,10,"rolled up and secured: ""furled sails bound securely to the spar""; ""a furled flag""; ""his rolled umbrella hanging on his arm""",
182945,00250366,a,10,"tied or bound with wire: ""wired bundles of newspapers""",
182949,00250843,a,10,"closed with a lace: ""snugly laced shoes""",
182950,00250942,a,10,"with laces not tied: ""teenagers slopping around in unlaced sneakers""",
182908,00244022,a,10,"having blood of a certain type; used as a combining form: ""blue-blooded aristocracy""; ""red-blooded American""",
182958,00252065,a,10,twined or twisted together,
182963,00252819,a,10,not tangled,
208316,L8281500,n,9,"a Greek astrologer, a disciple of Plato",
182964,00252904,a,10,straightened out,
182967,00253398,a,10,enclosed in a case,
182968,00253468,a,10,(of books) having the back bound in one material and the sides in another,1422
182969,00253598,a,10,(of books) having a flexible binding,1422
182970,00253704,a,10,(of books) having a sturdy and attractive binding,1422
182980,00255314,a,10,surrounded or enclosed by the sea,
182981,00255401,a,10,having no border,
182982,00255474,a,10,occupying the lowest socioeconomic position in a society,1675
182983,00255744,a,10,(British) not characteristic of the upper classes especially in language use,1675
182984,00255872,a,10,belonging to or characteristic of the proletariat,1675
182986,00256202,a,10,occupying the upper part of the lower class,1675
182960,00252294,a,10,"tangled in a dense mass: ""tried to push through the matted undergowth""",
182966,00253249,a,10,"having trim or fittings of brass: ""a brassbound campaign chest""; ""the heavy brassbound door""",
182962,00252612,a,10,"(archaic) twisted together; as of filaments spun into a thread; ""thrown silk is raw silk that has been twisted and doubled into yarn""",
182971,00253810,a,10,"not secured within a cover: ""an unbound book""",
182972,00253945,a,10,"not bound or fastened or gathered together: ""loose pages""; ""loose papers""",
182975,00254527,a,10,"enclosed in or set off by a border or box: ""boxed sections of the report""; ""boxed announcements in the newspaper""",
182977,00254848,a,10,"having a specified kind of border or edge: ""a black-edged card""; ""dried sweat left salt-edged patches""",
182979,00255212,a,10,"bordered by a line of things: ""tree lined streets""",
182989,00256659,a,10,"conforming to the standards and conventions of the middle class: ""a bourgeois mentality""",1675
182993,00257329,a,10,"of high social status: ""people of quality""; ""a quality family""",1675
183004,00259479,a,10,"unflinching in battle or action: ""a gallant warrior""; ""put up a gallant resistance to the attackers""",1502
182987,00256309,a,10,occupying a socioeconomic position intermediate between those of the lower classes and the wealthy,1675
183007,00259847,a,10,"used especially of persons: ""a stalwart knight""; ""a stouthearted fellow who had an active career in the army""",1502
183008,00260026,a,10,"resolutely courageous: ""undaunted in the face of death""",1502
183009,00260137,a,10,"having or showing valor: ""a valiant attempt to prevent the hijack""; ""a valiant soldier""",1502
182985,00255979,a,10,"of those who work for wages especially manual or industrial laborers: ""party of the propertyless proletariat""-G.B.Shaw",1675
182956,00251798,a,10,"caught as if in a mesh: ""enmeshed in financial difficulties""",
183016,00261449,a,10,"lacking conviction or boldness or courage: ""faint heart ne'er won fair lady""",1502
183019,00261774,a,10,lacking in courage and manly strength and resolution; contemptibly fearful,1502
182974,00254233,a,10,"having a border especially of a specified kind; sometimes used as a combining term: ""black-bordered handkerchief""",
182988,00256574,a,10,belonging to the middle class,1675
182990,00256834,a,10,occupying the lower part of the middle socioeconomic range in a society,1675
182991,00256970,a,10,occupying the upper part of the middle socioeconomic range in a society,1675
182992,00257106,a,10,occupying the highest socioeconomic position in a society,1675
182994,00257445,a,10,owning land or securities as a principal source of revenue,1675
182995,00257578,a,10,(chiefly British) of or appropriate to the upper classes especially in language use,1675
182997,00257825,a,10,having a short broad head with a cephalic index of over 80,
182998,00258010,a,10,having a brachycephalic head,
182999,00258126,a,10,having a small round head,
183000,00258211,a,10,having a relatively long head with a cephalic index of under 75,
183001,00258386,a,10,having a dolichocephalic head,
183005,00259633,a,10,willing to face danger,1502
183006,00259763,a,10,extraordinarily courageous,1502
183011,00260703,a,10,despicably mean and cowardly,1502
183012,00260785,a,10,(informal) easily frightened,1502
183013,00260941,a,10,shrinking or flinching in fear,1502
183017,00261600,a,10,in a state of cowardly fright,1502
183018,00261681,a,10,characterized by complete cowardliness,1502
182959,00252149,a,10,"tangled in knots or snarls: ""a mass of knotted string""; ""snarled thread""",
183024,00262651,a,10,(of an infant) breast-fed,
208960,L5617700,n,9,"the wife of the poet Antimachus of Claros, who attempted to console himself for her death by an elegiac poem which he named Lyde",
211363,L6427743,n,9,"Amorgos, one of the Cyclades",2775
183025,00262739,a,10,(of an infant) given milk from a bottle,
183028,00263355,a,10,breathing out,
183029,00263423,a,10,breathing heavily,
183030,00263512,a,10,breathing in,
183036,00264603,a,10,breathing laboriously or convulsively,
183039,00265121,a,10,containing crystals that are visible only under a microscope,
183041,00265366,a,10,not crystalline,
183049,00266874,a,10,glowing from great heat,2234
183051,00267085,a,10,emitting light during exposure to radiation from an external source,2234
183058,00268127,a,10,emitting light not caused by heat,2234
183066,00269848,a,10,dark and misty and gloomy,2234
183084,00272899,a,10,shaded by means of fine parallel or crossed lines,2479
183053,00267443,a,10,"providing light: ""the sun's illuminating rays""",2234
183031,00263579,a,10,"breathing during sleep with harsh noises caused by vibration of the uvula or soft palate: ""the snoring sleeper""",
183068,00270108,a,10,"like twilight; dim: ""the evening's crepuscular charm""",2234
183032,00263744,a,10,"breathing noisily and forcefully through the nostrils: ""snored with loud snorting noises""",
183034,00264190,a,10,"tending to deprive of oxygen: ""asphyxiating gasses""",
183037,00264763,a,10,"consisting of or containing or of the nature of crystals: ""granite is crystalline""",
183038,00264957,a,10,"having both internal structure and external form of a crystal: ""quartz crystal is perfectly crystallized""",
183040,00265244,a,10,"composed of aggregates of crystals: ""polycrystalline metals""",
183042,00265460,a,10,"without real or apparent crystalline form: ""an amorphous mineral""; ""amorphous structure""",
183043,00265621,a,10,"owning or consisting of land or real estate: ""the landed gentry""; ""landed property""",
183044,00265757,a,10,"owning no land: ""the landless peasantry""",
183046,00266341,a,10,"lighted with red light as if with flames: ""streets ablaze with lighted Christmas trees""; ""the inflamed clouds at sunset""; ""reddened faces around the campfire""",2234
183050,00266954,a,10,"illuminated by means of floodlights: ""the floodlit courtyard""",2234
183047,00266577,a,10,"(of living organisms) emitting light; ""fireflies are bioluminescent""",2158
183052,00267210,a,10,"provided with artificial light: ""illuminated advertising""; ""looked up at the lighted windows""; ""a brightly lit room""; ""a well-lighted stairwell""",2234
183056,00267786,a,10,"turning lights on: ""it's lighting-up time""",2234
183055,00267683,a,10,"lighted by a lamp: ""our lamplit mountain retreat""",2234
183059,00268218,a,10,"emitting light without appreciable heat as by slow oxidation of phosphorous: ""the phosphorescent glow of decaying wood""",2234
183064,00269494,a,10,"lacking light; especially not reached by sunlight: ""the aphotic depths of the sea where no photosynthesis occurs""",2234
183063,00269263,a,10,"dark and dismal as of the rivers Acheron and Styx in Hades: ""in the depths of an Acheronian forest""; ""upon those roseate lips a Stygian hue""-Wordsworth",2234
183022,00262374,a,10,"lacking courage or vitality: ""he was a yellow gutless worm""; ""a spineless craven fellow""",
183065,00269661,a,10,"extremely dark: ""a black moonless night""; ""through the pitch-black woods""; ""it was pitch-dark in the celler""",2234
183060,00268398,a,10,"lighted by sunlight: ""the sunlit slopes of the canyon""; ""violet valleys and the sunstruck ridges""-Wallace Stegner",2234
183069,00270219,a,10,"become or made dark by lack of light: ""a darkened house""; ""the darkened theater""",2234
183072,00270608,a,10,"uncannily or threateningly dark or obscure: ""a darkling glance""; ""secret operatives and darkling conspiracies""-Archibald MacLeish",2234
183071,00270492,a,10,"(poetic) occurring in the dark or night; ""a darkling journey""",2234
183074,00270952,a,10,"lighted by or as if by twilight: ""The dusky night rides down the sky/And ushers in the morn""-Henry Fielding; ""the twilight glow of the sky""; ""a boat on a twilit river""",2234
183077,00271594,a,10,"dark and gloomy: ""a tenebrous cave""",2234
183079,00271928,a,10,"so shaded as to be dark or gloomy: ""a murky dungeon""; ""murky rooms lit by smoke-blackened lamps""",
183081,00272333,a,10,"not darkened or dimmed by shade: ""an unshaded meadow""; ""a bright and unshaded lane""",
183086,00273174,a,10,"lacking variety in shading: ""a flat unshaded painting""",2479
183087,00273279,a,10,"lighted by moonlight: ""the moonlit landscape""",
183083,00272700,a,10,"(of pictures or drawings) drawn or painted with degrees or gradations of shadow; ""the shaded areas of the face seemed to recede""",2479
183085,00273017,a,10,"(of pictures) not having shadow represented; ""unshaded drawings resembling cartoons""",2479
183027,00263217,a,10,"having breath or breath as specified; usually used in combination: ""sweet-breathed""",
183023,00262528,a,10,(of an infant) fed milk from the mother's breast,
183089,00273521,a,10,capable of being connected by a bridge or as if by a bridge,
211337,L6906074,n,9,"Faustus, a Roman praenomen",2793
183099,00276059,a,10,(metaphor) shining brightly,
183122,00280184,a,10,discriminatory especially on the basis of race or religion,
183123,00280339,a,10,discriminatory on the basis of sex,
183125,00280664,a,10,unprejudiced about race,
183130,00281492,a,10,unwilling to accept authority or dogma (especially in religion),
183133,00282089,a,10,not ready to receive to new ideas,
183134,00282197,a,10,characterized by arrogant assertion of unproved or unprovable principles,
183135,00282337,a,10,narrow-minded about cherished opinions,
183136,00282444,a,10,obstinate in your opinions,
183140,00283201,a,10,persisting in a reactionary stand,
183093,00274569,a,10,"softly bright or radiant: ""a house aglow with lights""; ""glowing embers""; ""lambent tongues of flame""; ""the lucent moon""; ""a sky luminous with stars""",2097
183095,00275333,a,10,"small and round and shiny like a shiny bead or button: ""bright beady eyes""; ""black buttony eyes""",2097
183096,00275515,a,10,"radiating or as if radiating light: ""the beaming sun""; ""the effulgent daffodils""; ""a radiant sunrise""; ""a refulgent sunset""",2097
183102,00276475,a,10,"emitting light in sudden short or intermittent bursts: ""flashing lightning and roaring thunder""",2097
183098,00275965,a,10,"off-and-on; ""the blinking signal light""",2097
183114,00278681,a,10,"not reflecting light; not glossy: ""flat wall paint""; ""a photograph with a matte finish""",2097
183129,00281363,a,10,"free from provincial prejudices or attachments: ""catholic in one's tastes""",
183106,00277424,a,10,"shining with an unnatural red glow as of fire seen through smoke: ""a lurid sunset""; ""lurid flames""",2097
183107,00277574,a,10,"shining or glowing by night: ""the noctilucent eyes of a cat""",2097
183108,00277692,a,10,"glistening tremulously: ""the shimmering surface of the lake""; ""a dress of shimmery satin""",2097
183110,00277987,a,10,"reflecting an inner radiance: ""with shining eyes""",2097
183112,00278325,a,10,"shining intermittently with a sparkling light: ""twinkling stars""",2097
183113,00278448,a,10,"emitting or reflecting very little light: ""a dull glow""; ""dull silver badly in need of a polish""; ""a dull sky""",2097
183116,00279019,a,10,"made dim or less bright: ""the dimmed houselights brought a hush of anticipation""; ""dimmed headlights""; ""we like dimmed lights when we have dinner""",
183141,00283316,a,10,"physically and forcibly separated into pieces or cracked or split; or legally or emotionally destroyed: ""a broken mirror""; ""a broken tooth""; ""a broken leg""; ""his neck is broken""; ""children from broken homes""; ""a broken marriage""; ""a broken heart""",
183119,00279556,a,10,"being biased or having a belief or attitude formed beforehand: ""a prejudiced judge""",
183120,00279785,a,10,"showing or affected by prejudice or envy or distaste: ""looked with a jaundiced eye on the growth of regimentation""; ""takes a jaundiced view of societies and clubs""",
183124,00280426,a,10,"free from undue bias or preconceived opinions: ""an unprejudiced appraisal of the pros and cons""; ""the impartial eye of a scientist""",
183126,00280772,a,10,"receptive to new ideas: ""an open mind""; ""open to new ideas""",
183127,00280882,a,10,"inclined to respect views and beliefs that differ from your own: ""a judge who is broad-minded but even-handed""",
183131,00281660,a,10,"ready to entertain new ideas: ""an open-minded curiosity""; ""open-minded impartiality""",
183091,00273770,a,10,"emitting or reflecting light readily or in large amounts: ""the sun was bright and hot""; ""a bright sunlit room""",2097
183132,00281802,a,10,"lacking tolerance or flexibility or breadth of view: ""a brilliant but narrow-minded judge""; ""narrow opinions""",
183138,00282786,a,10,"adapted to social or economic change: ""a reconstructed feminist""",
183142,00283903,a,10,"forcibly broken through or opened up: ""the enemy poured through the breached line of defense""",
183144,00284249,a,10,"having a small piece broken off: ""a chipped tooth""",
183145,00284353,a,10,"broken without being divided into parts but having fissures appear on the surface: ""a cracked mirror""",
183146,00284508,a,10,"broken into small fragments: ""crumbled cookies""",
183148,00284822,a,10,"sundered by divorce or separation or desertion: ""a dissolved marriage""",
183149,00284948,a,10,"used of a break or crack or tear in bone or cartilage: ""serious injuries such as broken bones and fractured skulls""",
183151,00285322,a,10,"broken or burst apart longitudinally: ""after the thunderstorm we found a tree with a split trunk""; ""they tore big juicy chunks from the heart of the split watermelon""",
183153,00285787,a,10,"not fractured: ""X-rays showed the skull to be unfractured""",
183220,00297087,a,10,"may be computed or estimated: ""a calculable risk""; ""computable odds""; ""estimable assets""",
183100,00276157,a,10,"full of light; shining intensely: ""a brilliant star""; ""brilliant chandeliers""",2097
183170,00288611,a,10,not buried,
183175,00289578,a,10,too busy,
183179,00290240,a,10,not engaged or employed or occupied,
157141,08878606,n,10,erect bushy annual widely cultivated in warm regions of India and Indonesia and United States for forage and especially its edible seeds; chief source of bean sprouts used in Chinese cookery; sometimes placed in genus Phaseolus,"2158,2172"
183180,00290335,a,10,(informal) constitutionally lazy or idle,
183190,00292141,a,10,having strong bones,
183193,00292490,a,10,furnished or closed with buttons or something buttonlike,
183194,00292648,a,10,(of a heraldic cross) having a cluster of three buttons or knobs at the end of each arm,2794
183198,00293268,a,10,favoring or practicing capitalism,
183199,00293427,a,10,(according to Marxist thought) being of the property-owning class and exploitive of the working class,"1718,1753"
183200,00293584,a,10,subscribing to capitalistic competition,1753
183201,00293726,a,10,with minimally restricted freedom in commerce,
183204,00294264,a,10,subscribing to the socialistic doctrine of ownership by the people collectively,
183206,00294777,a,10,like the cackles or squawks a hen makes especially after laying an egg,
183213,00295923,a,10,unpleasantly loud and harsh,
183157,00286608,a,10,"(football) varying in direction suddenly and frequently; ""broken-field running""",2638
183159,00286856,a,10,"intermittently stopping and starting: ""fitful (or interrupted) sleep""; ""off-and-on static""",
183160,00287029,a,10,"fragmentary or halting from emotional strain: ""uttered a few broken words of sorrow""",
183161,00287167,a,10,"marked by continuous or uninterrupted extension in space or time or sequence: ""cars in an unbroken procession""; ""the unbroken quiet of the afternoon""",
183164,00287715,a,10,"like or characteristic of or befitting a brother: ""brotherly feelings""; ""close fraternal ties""",
183197,00293115,a,10,"of a shirt; not buttoned at the neck: ""dressed casually in shorts and an open-collared shirt""",
183168,00288350,a,10,"placed in a grave: ""the hastily buried corpses""",
183166,00288055,a,10,"(of twins) derived from two separate fertilized ova; ""fraternal twins are biovular""",2158
183167,00288205,a,10,"(of twins) derived from a single egg or ovum; ""identical twins are monovular""",2158
183169,00288489,a,10,"underneath the ground: ""most of his friends are now belowground""",
183172,00289007,a,10,"on the job: ""had been at work for over an hour before her boss arrived""",
183174,00289370,a,10,"having ones attention or mind or energy engaged: ""she keeps herself fully occupied with volunteer activities""; ""deeply engaged in conversation""",
183209,00295224,a,10,"deep and harsh sounding as if from shouting or illness or emotion: ""gruff voices""; ""the dog's gruff barking""; ""hoarse cries""; ""makes all the instruments sound powerful but husky:- Virgil Thomson",
183178,00289934,a,10,"not in action or at work: ""an idle laborer""; ""idle drifters""; ""the idle rich""; ""an idle mind""",
183182,00290785,a,10,"shirking your assigned duties: ""too many goldbricking employees""",
183205,00294454,a,10,"having an unpleasant sound: ""as cacophonous as a henyard""-John McCarten",
183186,00291570,a,10,"having bones especially many or prominent bones: ""a bony shad fillet""; ""her bony wrist""",
183187,00291788,a,10,"consisting of or made up of bone: ""a bony substance""; ""the bony framework of the body""",
183189,00292051,a,10,"resembling bone: ""a bonelike tumor""",
183191,00292219,a,10,"being without a bone or bones: ""jellyfish are boneless""",
183192,00292347,a,10,"having had the bones removed: ""a boneless rib roast""; ""a boned (or deboned) fish""",
183196,00292962,a,10,"not buttoned: ""the wind picked up the hem of her unbuttoned coat""",
183207,00294910,a,10,"like the sounds of frogs and crows: ""a guttural voice""; ""acres of guttural frogs""",
183158,00286746,a,10,"having gaps or spaces: ""sign on the dotted line""",
183208,00295066,a,10,"unpleasantly harsh or grating in sound: ""a gravelly voice""",
183184,00291135,a,10,"free from duties or responsibilities: ""he writes in his leisure hours""; ""life as it ought to be for the leisure classes""-J.J.Chapman; ""even the artist and the sculptor were not regarded...as leisured men""-Ida Craven",
183211,00295658,a,10,"making or causing a harsh and irritating sound: ""the jarring noise of the iron gate scraping on the sidewalk""",
183212,00295821,a,10,"loud and sharp: ""the piercing shriek of sirens""",
183215,00296284,a,10,"having a pleasant sound: ""a euphonious trill of silver laughter""",
183216,00296453,a,10,"suggestive of gold: ""a golden voice""",
183217,00296542,a,10,"resembling or reminiscent of silver: ""a soft silvern voice""; ""singing in her silvery tones""",
183218,00296697,a,10,"capable of being calculated or estimated: ""a calculable risk""; ""calculable odds""",
183219,00296924,a,10,"determined by mathematical computation: ""the calculated velocity of a bullet""; ""a derived value""",
183162,00287425,a,10,"uninterrupted in space; having no gaps or breaks: ""a solid line across the page""; ""solid sheets of water""",
183223,00297505,a,10,not capable of being calculated,
137940,05597982,n,10,a feeling of being at ease in a relationship,1502
183226,00298269,a,10,unable to be determined,
211367,L9684058,n,9,a kind of gladiator,"2645,2799"
183240,00300828,a,10,accompanied with thunder,2126
183242,00301008,a,10,not containing camphor,
183252,00303052,a,10,having a caretaker or other watcher,
183253,00303157,a,10,lacking needed care and attention,
183263,00305464,a,10,excessively or unduly careful,1502
183276,00308187,a,10,(of animals) carnivorous,2158
183277,00308303,a,10,feeding on fishes,2158
183278,00308378,a,10,hunting and killing other animals for food,2158
183279,00308477,a,10,feeding only on plants,2158
183281,00308808,a,10,feeding on berries,2158
183282,00308884,a,10,feeding on fruit,2158
183283,00308977,a,10,feeding on grasses,2158
183284,00309057,a,10,(of animals) feeding on plants,2158
183285,00309193,a,10,feeding on both plants and animals,2158
183286,00309338,a,10,(of animals) both plant-eating and flesh-eating,2158
183287,00309448,a,10,(of animals and plants) feeding on insects,2158
183288,00309622,a,10,feeding on bees,2158
183227,00298353,a,10,"(of weather) free from storm or wind; ""calm seas""",2126
183230,00298982,a,10,"without or almost without wind: ""he prefers windless days for playing golf""",2126
183233,00299678,a,10,"characterized by great swelling waves or surges: ""billowy storm clouds""; ""the restless billowing sea""; ""surging waves""",2126
183232,00299475,a,10,"(of the elements) as if showing violent anger; ""angry clouds on the horizon""; ""furious winds""; ""the raging sea""",2126
183236,00300345,a,10,"abounding in or exposed to the wind or breezes: ""blowy weather""; ""a windy bluff""",2126
183225,00298047,a,10,"beyond calculation or measure: ""of incalculable value""; ""an incomputable amount""; ""jewels of inestimable value""; ""immeasurable wealth""",
183237,00300494,a,10,"rough with small waves: ""choppy seas""",2126
183239,00300694,a,10,"characterized by brief periods of violent wind or rain: ""a gray squally morning""",2126
183241,00300907,a,10,"impregnated with camphor: ""camphorated oil""",
183244,00301385,a,10,"having inherent physical or mental ability or capacity: ""able to learn""; ""human beings are able to walk on two feet""; ""Superman is able to leap tall buildings""",2234
183251,00302919,a,10,"having needed care and attention: ""well-cared-for children""",
183257,00304166,a,10,"cautious in attitude and careful in actions; prudent: ""a cautious answer""; ""very cautious about believing everything she was told""",1502
183248,00302394,a,10,"(usually followed by ""to"") lacking necessary physical or mental ability; ""dyslexics are unable to learn to read adequately;"" ""the sun was unable to melt enough snow""",2234
183250,00302770,a,10,"(followed by ""of"") not having the temperament or inclination for; ""simply incapable of lying""",
183254,00303284,a,10,"lacking a caretaker: ""a neglected child""; ""many casualties were lying unattended""",
183258,00304351,a,10,"exercising or taking care great enough to bring assurance: ""be certain to disconnect the iron when you are through""; ""be sure to lock the doors""",1502
183269,00306683,a,10,"hasty and without attention to detail; not thorough: ""a casual (or cursory) inspection failed to reveal the house's structural flaws""; ""a passing glance""; ""perfunctory courtesy""",1502
183260,00304749,a,10,"characterized by extreme care and great effort: ""conscientious application to the work at hand""; ""painstaking research""; ""scrupulous attention to details""",1502
183262,00305255,a,10,"characterized by painstaking care and detailed examination: ""a minute inspection of the grounds""; ""a narrow scrutiny""; ""an exact and minute report""",1502
