id,uri,lemma,pos,validated,morpho,principal_parts,prosody
23179,e1822,exsurgo,v,1,v1spia--3-,exsurg exsurrex exsurrect,exsurgo
23180,e1825,exsuscito,v,1,v1spia--1-,exsuscit exsuscitau exsuscitat,exsuscito
23181,e1831,extemplo,r,1,rp--------,,extemplo
23183,e1835,extensio,n,1,n-s---fn3-,extension,extensio
23184,e9947,extensus,n,1,n-s---mn4-,extens,extensus
23185,e1843,extenuo,v,1,v1spia--1-,extenu extenuau extenuat,extenuo
23187,e1852,extermino,v,1,v1spia--1-,extermin exterminau exterminat,extermino
23188,e1854,externus,a,1,aps---mn1-,extern extern extern,externus
23190,e1861,extimesco,v,1,v1spia--3-,extimesc extimu -,extimesco
23191,e9977,extollentia,n,1,n-s---fn1-,extollenti,extollentia
23192,e1864,extollo,v,1,v1spia--3-,extoll extul -,extollo
23193,e1867,extorqueo,v,1,v1spia--2-,extorqu extors extort,extorqueo
23195,e1875,extraho,v,1,v1spia--3-,extrah extrax extract,extraho
23196,e1882,extrarius,a,1,aps---mn1-,extrari extrari extrari,extrarius
23197,e1883,extremitas,n,1,n-s---fn3-,extremitat,extremitas
